Date,Open,High,Low,Close,Adj Close,Volume
2022-05-24,182.000000,184.000000,177.169998,180.339996,180.339996,7706400
2022-05-25,180.279999,188.869995,180.169998,187.830002,187.830002,8522100
2022-05-26,186.490005,192.339996,183.089996,191.399994,191.399994,8049900
2022-05-27,193.190002,195.250000,190.369995,195.190002,195.190002,8586000
2022-05-31,196.179993,199.949997,190.800003,197.440002,197.440002,11398500
2022-06-01,198.699997,202.740005,191.660004,192.910004,192.910004,8416200
2022-06-02,192.020004,205.470001,191.720001,205.089996,205.089996,9623100
2022-06-03,200.139999,202.949997,198.050003,198.979996,198.979996,7191800
2022-06-06,202.089996,203.869995,195.380005,197.139999,197.139999,5372000
2022-06-07,194.869995,199.600006,193.000000,198.610001,198.610001,4839500
2022-06-08,197.949997,207.380005,197.639999,202.830002,202.830002,7244100
2022-06-09,200.649994,201.690002,192.539993,192.770004,192.770004,6949000
2022-06-10,182.639999,185.860001,180.850006,182.940002,182.940002,13065600
2022-06-13,177.070007,179.089996,168.960007,169.690002,169.690002,10222400
2022-06-14,169.750000,172.059998,164.279999,167.539993,167.539993,11555300
2022-06-15,169.259995,183.850006,168.529999,180.110001,180.110001,12396000
2022-06-16,174.000000,176.270004,171.559998,173.350006,173.350006,8201300
2022-06-17,173.630005,179.649994,173.339996,175.509995,175.509995,12133400
2022-06-21,177.600006,178.619995,169.800003,170.910004,170.910004,12177600
2022-06-22,170.750000,182.820007,170.199997,178.889999,178.889999,11992400
2022-06-23,180.500000,182.759995,175.869995,181.710007,181.710007,9538200
2022-06-24,183.500000,191.190002,181.839996,190.850006,190.850006,12424000
2022-06-27,191.770004,191.779999,182.389999,189.139999,189.139999,8363900
2022-06-28,189.199997,192.199997,179.369995,179.600006,179.600006,7185400
2022-06-29,179.550003,180.669998,175.100006,178.360001,178.360001,5766800
2022-06-30,177.070007,179.449997,170.300003,174.869995,174.869995,7894700
2022-07-01,176.490005,180.100006,174.270004,179.949997,179.949997,5201600
2022-07-05,176.279999,185.919998,172.679993,185.880005,185.880005,7334300
2022-07-06,185.199997,186.220001,180.820007,184.059998,184.059998,5753400
2022-07-07,184.270004,190.210007,183.500000,189.270004,189.270004,6334500
2022-07-08,186.020004,189.910004,182.750000,186.979996,186.979996,5835700
2022-07-11,184.729996,184.990005,176.889999,177.339996,177.339996,6038800
2022-07-12,177.330002,179.779999,173.419998,174.449997,174.449997,6845300
2022-07-13,170.500000,179.179993,169.699997,176.559998,176.559998,12734400
2022-07-14,175.559998,177.520004,171.820007,174.779999,174.779999,9039500
2022-07-15,175.580002,189.220001,174.559998,189.110001,189.110001,16319100
2022-07-18,192.500000,199.669998,189.800003,190.919998,190.919998,16322800
2022-07-19,193.020004,201.970001,188.399994,201.630005,201.630005,28178700
2022-07-20,208.169998,216.970001,200.100006,216.440002,216.440002,53920300
2022-07-21,214.300003,224.320007,211.500000,223.880005,223.880005,23430100
2022-07-22,222.380005,229.350006,218.440002,220.440002,220.440002,17805500
2022-07-25,221.309998,225.229996,216.350006,218.509995,218.509995,10935200
2022-07-26,216.660004,219.389999,211.639999,213.910004,213.910004,9508500
2022-07-27,216.479996,227.779999,214.580002,226.750000,226.750000,10508400
2022-07-28,224.600006,228.100006,219.669998,226.020004,226.020004,8972700
2022-07-29,223.289993,230.750000,222.399994,224.899994,224.899994,9064900
2022-08-01,223.100006,228.389999,221.000000,226.210007,226.210007,5525000
2022-08-02,222.759995,228.199997,220.880005,221.419998,221.419998,6361300
2022-08-03,224.789993,228.100006,222.419998,226.729996,226.729996,6400700
2022-08-04,227.679993,232.070007,225.050003,229.910004,229.910004,7142700
2022-08-05,225.300003,228.619995,222.869995,226.779999,226.779999,5539700
2022-08-08,227.490005,241.960007,226.410004,233.490005,233.490005,10982100
2022-08-09,231.619995,232.199997,224.649994,229.940002,229.940002,6181200
2022-08-10,236.990005,244.539993,236.600006,244.110001,244.110001,9254800
2022-08-11,244.679993,251.619995,241.509995,242.699997,242.699997,8780100
2022-08-12,244.809998,249.410004,243.759995,249.300003,249.300003,6098500
2022-08-15,248.110001,251.990005,247.509995,249.110001,249.110001,6527400
2022-08-16,247.160004,249.289993,244.029999,245.690002,245.690002,5136800
2022-08-17,241.179993,244.240005,237.559998,241.149994,241.149994,5627200
2022-08-18,241.960007,246.479996,239.279999,245.169998,245.169998,5280400
2022-08-19,240.949997,243.289993,235.679993,241.160004,241.160004,7504700
2022-08-22,232.550003,233.479996,224.589996,226.539993,226.539993,8630100
2022-08-23,226.460007,229.899994,224.300003,224.550003,224.550003,5276900
2022-08-24,225.660004,234.100006,223.940002,229.610001,229.610001,5426300
2022-08-25,230.240005,234.160004,229.000000,233.979996,233.979996,3766900
2022-08-26,233.630005,236.949997,223.149994,223.279999,223.279999,5349800
2022-08-29,221.929993,229.869995,221.520004,224.570007,224.570007,7109400
2022-08-30,226.660004,229.789993,218.740005,220.649994,220.649994,5740400
2022-08-31,227.000000,233.880005,223.429993,223.559998,223.559998,8615900
2022-09-01,220.720001,230.369995,219.470001,230.039993,230.039993,7292900
2022-09-02,231.029999,233.880005,225.039993,226.110001,226.110001,8164900
2022-09-06,225.589996,226.850006,214.690002,218.389999,218.389999,7469000
2022-09-07,220.210007,229.330002,218.270004,228.960007,228.960007,8149300
2022-09-08,224.160004,228.740005,221.300003,227.440002,227.440002,6737400
2022-09-09,229.619995,234.779999,229.619995,233.570007,233.570007,6699600
2022-09-12,233.610001,239.490005,233.369995,236.529999,236.529999,6047400
2022-09-13,226.500000,227.690002,217.720001,218.130005,218.130005,8000100
2022-09-14,219.820007,228.000000,215.800003,224.119995,224.119995,8230300
2022-09-15,230.470001,242.289993,229.100006,235.380005,235.380005,19454100
2022-09-16,231.220001,241.360001,227.830002,240.130005,240.130005,18914200
2022-09-19,245.050003,245.250000,235.750000,243.630005,243.630005,17912400
2022-09-20,240.369995,250.490005,239.660004,242.850006,242.850006,16037400
2022-09-21,242.669998,248.300003,236.679993,236.869995,236.869995,9166800
2022-09-22,235.350006,240.500000,231.660004,237.050003,237.050003,10018000
2022-09-23,235.139999,236.449997,221.429993,226.410004,226.410004,11207200
2022-09-26,225.600006,232.699997,223.009995,224.070007,224.070007,8234300
2022-09-27,228.630005,230.639999,220.720001,224.360001,224.360001,7762200
2022-09-28,229.690002,246.649994,227.380005,245.199997,245.199997,17579700
2022-09-29,241.610001,246.979996,235.679993,239.710007,239.710007,18994900
2022-09-30,237.000000,242.440002,233.259995,235.440002,235.440002,11848600
2022-10-03,237.850006,241.539993,232.850006,239.039993,239.039993,8657400
2022-10-04,244.839996,245.800003,233.250000,240.740005,240.740005,13925900
2022-10-05,238.759995,241.589996,227.380005,236.729996,236.729996,10825600
2022-10-06,236.679993,244.279999,233.910004,240.020004,240.020004,9188900
2022-10-07,235.770004,237.330002,224.279999,224.750000,224.750000,9806100
2022-10-10,225.639999,233.830002,224.229996,229.979996,229.979996,9991100
2022-10-11,226.050003,230.440002,213.699997,214.289993,214.289993,15282400
2022-10-12,214.300003,223.669998,212.639999,220.869995,220.869995,12952600
2022-10-13,212.690002,234.470001,211.729996,232.509995,232.509995,17505000
2022-10-14,237.800003,238.800003,229.509995,230.000000,230.000000,15293400
2022-10-17,234.410004,249.919998,234.399994,245.100006,245.100006,21057800
2022-10-18,249.800003,250.369995,237.729996,240.860001,240.860001,25776700
2022-10-19,265.000000,279.299988,262.660004,272.380005,272.380005,46685300
2022-10-20,272.779999,278.380005,266.380005,268.160004,268.160004,17207100
2022-10-21,268.950012,290.750000,265.679993,289.570007,289.570007,24889100
2022-10-24,290.230011,290.489990,280.359985,282.450012,282.450012,13326400
2022-10-25,286.950012,297.589996,285.549988,291.019989,291.019989,15100700
2022-10-26,290.040009,305.630005,288.040009,298.619995,298.619995,15714100
2022-10-27,298.329987,305.209991,294.779999,296.940002,296.940002,14612600
2022-10-28,297.700012,301.190002,292.290009,295.720001,295.720001,9960500
2022-10-31,295.130005,297.619995,289.500000,291.880005,291.880005,7505100
2022-11-01,296.170013,299.700012,286.420013,286.750000,286.750000,6916400
2022-11-02,286.399994,287.329987,272.839996,273.000000,273.000000,10367600
2022-11-03,271.250000,276.290009,268.799988,269.059998,269.059998,7057400
2022-11-04,272.019989,274.970001,255.320007,260.790009,260.790009,11124700
2022-11-07,261.059998,261.149994,252.089996,258.600006,258.600006,7927000
2022-11-08,259.920013,266.079987,256.880005,263.459991,263.459991,7683800
2022-11-09,259.660004,260.899994,254.220001,254.660004,254.660004,7266000
2022-11-10,265.989990,275.359985,260.089996,274.970001,274.970001,9667300
2022-11-11,274.470001,290.660004,271.559998,290.130005,290.130005,9573800
2022-11-14,290.000000,311.000000,288.190002,299.269989,299.269989,17978200
2022-11-15,309.200012,312.709991,302.549988,310.200012,310.200012,14626900
2022-11-16,309.940002,310.489990,303.609985,306.019989,306.019989,8038600
2022-11-17,294.720001,299.820007,291.000000,295.279999,295.279999,9838200
2022-11-18,297.329987,298.000000,287.000000,287.980011,287.980011,8400100
2022-11-21,291.000000,291.869995,282.660004,285.049988,285.049988,7256500
2022-11-22,284.989990,286.980011,277.339996,286.690002,286.690002,6245100
2022-11-23,285.910004,292.470001,283.760010,291.500000,291.500000,5919000
2022-11-25,289.000000,289.209991,284.170013,285.540009,285.540009,3236000
2022-11-28,284.000000,289.549988,280.529999,281.170013,281.170013,4703400
2022-11-29,282.500000,282.959991,275.940002,280.959991,280.959991,5786900
2022-11-30,281.369995,308.260010,280.410004,305.529999,305.529999,16070100
2022-12-01,303.989990,319.799988,303.029999,316.950012,316.950012,14664900
2022-12-02,310.489990,321.989990,310.000000,320.410004,320.410004,12690600
2022-12-05,316.459991,322.769989,310.920013,312.589996,312.589996,8423000
2022-12-06,311.000000,313.220001,303.130005,305.559998,305.559998,7195400
2022-12-07,306.500000,309.609985,302.100006,308.420013,308.420013,7821600
2022-12-08,309.109985,312.380005,304.809998,310.260010,310.260010,7205300
2022-12-09,321.450012,329.000000,319.519989,320.010010,320.010010,14364000
2022-12-12,320.000000,323.179993,308.850006,315.179993,315.179993,10148600
2022-12-13,328.000000,332.720001,317.200012,320.339996,320.339996,10756400
2022-12-14,318.970001,324.709991,314.420013,317.829987,317.829987,7543300
2022-12-15,302.119995,303.390015,286.549988,290.410004,290.410004,17724600
2022-12-16,288.760010,294.720001,288.700012,290.709991,290.709991,14080000
2022-12-19,289.730011,292.250000,286.130005,288.299988,288.299988,6163700
2022-12-20,281.239990,289.279999,280.809998,288.190002,288.190002,6918100
2022-12-21,289.989990,300.660004,286.500000,297.959991,297.959991,6376200
2022-12-22,298.089996,298.880005,290.809998,297.750000,297.750000,7856200
2022-12-23,296.179993,298.459991,291.910004,294.959991,294.959991,4251100
2022-12-27,293.190002,293.570007,282.130005,284.170013,284.170013,5778100
2022-12-28,281.920013,285.190002,273.410004,276.880005,276.880005,5964400
2022-12-29,283.179993,295.500000,281.010010,291.119995,291.119995,9588500
2022-12-30,285.529999,295.010010,283.220001,294.880005,294.880005,7557400
2023-01-03,298.059998,298.390015,288.700012,294.950012,294.950012,6764000
2023-01-04,298.239990,311.140015,295.510010,309.410004,309.410004,9345100
2023-01-05,307.000000,314.179993,304.549988,309.700012,309.700012,8328400
2023-01-06,311.570007,316.769989,303.690002,315.549988,315.549988,8949600
2023-01-09,316.829987,321.700012,313.220001,315.170013,315.170013,6766600
2023-01-10,311.070007,329.350006,311.070007,327.540009,327.540009,13072300
2023-01-11,326.500000,328.880005,321.350006,327.260010,327.260010,9579700
